sub_field,frequency
World Wide Web,5
Software Engineering,85
Security & Privacy,130
Scientific Computing,90
Real-Time & Embedded Systems,36
Programming Languages,97
Operating Systems,70
Networks & Communications,168
Natural Language & Speech,60
Multimedia,16
Machine Learning & Pattern Recognition,100
Information Retrieval,6
Human-Computer Interaction,130
Hardware & Architecture,142
Graphics,118
Distributed & Parallel Computing,101
Databases,81
Data Mining,34
Computer Vision,96
Computer Education,46
Compilers,1
Bioinformatics & Computational Biology,130
Artificial Intelligence,154
Algorithms & Theory,299
